Country,CountryCode,Region
Aruba,ABW,Latin America
Afghanistan,AFG,Asia Pacific
Angola,AGO,Middle East and Africa
Anguilla,AIA,Latin America
Aland Islands,ALA,Europe
Albania,ALB,Europe
Andorra,AND,Europe
United Arab Emirates,ARE,Middle East and Africa
Argentina,ARG,Latin America
Armenia,ARM,Europe
American Samoa,ASM,Asia Pacific
Antarctica,ATA,Latin America
French Southern Territories,ATF,Asia Pacific
Antigua and Barbuda,ATG,Latin America
Australia,AUS,Asia Pacific
Austria,AUT,Europe
Azerbaijan,AZE,Europe
Burundi,BDI,Middle East and Africa
Belgium,BEL,Europe
Benin,BEN,Middle East and Africa
Bonaire Sint Eustatius and Saba,BES,Latin America
Burkina Faso,BFA,Middle East and Africa
Bangladesh,BGD,Asia Pacific
Bulgaria,BGR,Europe
Bahrain,BHR,Middle East and Africa
Bahamas,BHS,Latin America
Bosnia and Herzegovina,BIH,Europe
Saint Barthelemy,BLM,Latin America
Belarus,BLR,Europe
Belize,BLZ,Latin America
Bermuda,BMU,Latin America
Bolivia,BOL,Latin America
Brazil,BRA,Latin America
Barbados,BRB,Latin America
Brunei Darussalam,BRN,Asia Pacific
Bhutan,BTN,Asia Pacific
Bouvet Island,BVT,Latin America
Botswana,BWA,Middle East and Africa
Central African Republic,CAF,Middle East and Africa
Canada,CAN,North America
Cocos (Keeling) Islands,CCK,Asia Pacific
Switzerland,CHE,Europe
Chile,CHL,Latin America
China,CHN,Asia Pacific
C̫te d'Ivoire,CIV,Middle East and Africa
Cameroon,CMR,Middle East and Africa
Congo (Democratic Republic),COD,Middle East and Africa
Congo,COG,Middle East and Africa
Cook Islands,COK,Asia Pacific
Colombia,COL,Latin America
Comoros,COM,Middle East and Africa
Cape Verde,CPV,Middle East and Africa
Costa Rica,CRI,Latin America
Cuba,CUB,Latin America
Curacao,CUW,Latin America
Christmas Island,CXR,Asia Pacific
Cayman Islands,CYM,Latin America
Cyprus,CYP,Europe
Czech Republic,CZE,Europe
Germany,DEU,Europe
Djibouti,DJI,Middle East and Africa
Dominica,DMA,Latin America
Denmark,DNK,Europe
Dominican Republic,DOM,Latin America
Algeria,DZA,Middle East and Africa
Ecuador,ECU,Latin America
Egypt,EGY,Middle East and Africa
Eritrea,ERI,Middle East and Africa
Western Sahara,ESH,Middle East and Africa
Spain,ESP,Europe
Estonia,EST,Europe
Ethiopia,ETH,Middle East and Africa
Finland,FIN,Europe
Fiji,FJI,Asia Pacific
Falkland Islands,FLK,Europe
France,FRA,Europe
Faroe Islands,FRO,Europe
Micronesia,FSM,Asia Pacific
Gabon,GAB,Middle East and Africa
United Kingdom,GBR,Europe
Georgia,GEO,Europe
Guernsey,GGY,Europe
Ghana,GHA,Middle East and Africa
Gibraltar,GIB,Europe
Guinea,GIN,Middle East and Africa
Guadeloupe,GLP,Latin America
Gambia,GMB,Middle East and Africa
Guinea-Bissau,GNB,Middle East and Africa
Equatorial Guinea,GNQ,Middle East and Africa
Greece,GRC,Europe
Grenada,GRD,Latin America
Greenland,GRL,Europe
Guatemala,GTM,Latin America
French Guiana,GUF,Latin America
Guam,GUM,Asia Pacific
Guyana,GUY,Latin America
Hong Kong,HKG,Asia Pacific
Heard Island and McDonald Islands,HMD,Europe
Honduras,HND,Latin America
Croatia,HRV,Europe
Haiti,HTI,Latin America
Hungary,HUN,Europe
Indonesia,IDN,Asia Pacific
Isle of Man,IMN,Europe
India,IND,Asia Pacific
British Indian Ocean Territory,IOT,Asia Pacific
Ireland,IRL,Europe
Iran,IRN,Middle East and Africa
Iraq,IRQ,Middle East and Africa
Iceland,ISL,Europe
Israel,ISR,Middle East and Africa
Italy,ITA,Europe
Jamaica,JAM,Latin America
Jersey,JEY,Europe
Jordan,JOR,Middle East and Africa
Japan,JPN,Asia Pacific
Kazakhstan,KAZ,Europe
Kenya,KEN,Middle East and Africa
Kyrgyzstan,KGZ,Europe
Cambodia,KHM,Asia Pacific
Kiribati,KIR,Asia Pacific
Saint Kitts and Nevis,KNA,Latin America
Korea,KOR,Asia Pacific
Kuwait,KWT,Middle East and Africa
Laos,LAO,Asia Pacific
Lebanon,LBN,Middle East and Africa
Liberia,LBR,Middle East and Africa
Libya,LBY,Middle East and Africa
Saint Lucia,LCA,Latin America
Liechtenstein,LIE,Europe
Sri Lanka,LKA,Asia Pacific
Lesotho,LSO,Middle East and Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Latvia,LVA,Europe
Macao,MAC,Asia Pacific
Saint Martin,MAF,Latin America
Morocco,MAR,Middle East and Africa
Monaco,MCO,Europe
Moldova,MDA,Europe
Madagascar,MDG,Middle East and Africa
Maldives,MDV,Asia Pacific
Mexico,MEX,North America
Marshall Islands,MHL,Asia Pacific
North Macedonia,MKD,Europe
Mali,MLI,Middle East and Africa
Malta,MLT,Europe
Myanmar,MMR,Asia Pacific
Montenegro,MNE,Europe
Mongolia,MNG,Asia Pacific
Northern Mariana Islands,MNP,Asia Pacific
Mozambique,MOZ,Middle East and Africa
Mauritania,MRT,Middle East and Africa
Montserrat,MSR,Latin America
Martinique,MTQ,Latin America
Mauritius,MUS,Middle East and Africa
Malawi,MWI,Middle East and Africa
Malaysia,MYS,Asia Pacific
Mayotte,MYT,Asia Pacific
Namibia,NAM,Middle East and Africa
New Caledonia,NCL,Asia Pacific
Niger,NER,Middle East and Africa
Norfolk Island,NFK,Asia Pacific
Nigeria,NGA,Middle East and Africa
Nicaragua,NIC,Latin America
Niue,NIU,Asia Pacific
Netherlands,NLD,Europe
Norway,NOR,Europe
Nepal,NPL,Asia Pacific
Nauru,NRU,Asia Pacific
New Zealand,NZL,Asia Pacific
Oman,OMN,Middle East and Africa
Pakistan,PAK,Asia Pacific
Panama,PAN,Latin America
Pitcairn,PCN,Asia Pacific
Peru,PER,Latin America
Philippines,PHL,Asia Pacific
Palau,PLW,Asia Pacific
Papua New Guinea,PNG,Asia Pacific
Poland,POL,Europe
Puerto Rico,PRI,Europe
North Korea,PRK,Asia Pacific
Portugal,PRT,Europe
Paraguay,PRY,Latin America
Palestine,PSE,Middle East and Africa
French Polynesia,PYF,Asia Pacific
Qatar,QAT,Middle East and Africa
Reunion,REU,Middle East and Africa
Romania,ROU,Europe
Russia,RUS,Europe
Rwanda,RWA,Middle East and Africa
Saudi Arabia,SAU,Middle East and Africa
Sudan,SDN,Middle East and Africa
Senegal,SEN,Middle East and Africa
Singapore,SGP,Asia Pacific
South Georgia and South Sandwich Islands,SGS,Latin America
Saint Helena,SHN,Europe
Svalbard and Jan Mayen,SJM,Europe
Solomon Islands,SLB,Asia Pacific
Sierra Leone,SLE,Middle East and Africa
El Salvador,SLV,Latin America
San Marino,SMR,Europe
Somalia,SOM,Middle East and Africa
Saint Pierre and Miquelon,SPM,Europe
Serbia,SRB,Europe
South Sudan,SSD,Middle East and Africa
Sao Tome and Principe,STP,Middle East and Africa
Suriname,SUR,Latin America
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Sweden,SWE,Europe
Eswatini,SWZ,Middle East and Africa
Sint Maarten,SXM,Latin America
Seychelles,SYC,Asia Pacific
Syrian Arab Republic,SYR,Middle East and Africa
Turks and Caicos Islands,TCA,Europe
Chad,TCD,Middle East and Africa
Togo,TGO,Middle East and Africa
Thailand,THA,Asia Pacific
Tajikistan,TJK,Europe
Tokelau,TKL,Asia Pacific
Turkmenistan,TKM,Europe
Timor-Leste,TLS,Asia Pacific
Tonga,TON,Asia Pacific
Trinidad and Tobago,TTO,Latin America
Tunisia,TUN,Middle East and Africa
Turkey,TUR,Europe
Tuvalu,TUV,Asia Pacific
Taiwan,TWN,Asia Pacific
Tanzania,TZA,Middle East and Africa
Uganda,UGA,Middle East and Africa
Ukraine,UKR,Europe
United States Minor Outlying Islands,UMI,Asia Pacific
Uruguay,URY,Latin America
United States,USA,North America
Uzbekistan,UZB,Europe
Vatican City,VAT,Europe
Saint Vincent and the Grenadines,VCT,Latin America
Venezuela,VEN,Latin America
British Virgin Islands,VGB,Europe
US Virgin Islands,VIR,Europe
Viet Nam,VNM,Asia Pacific
Vanuatu,VUT,Asia Pacific
Wallis and Futuna,WLF,Europe
Samoa,WSM,Asia Pacific
Yemen,YEM,Middle East and Africa
South Africa,ZAF,Middle East and Africa
Zambia,ZMB,Middle East and Africa
Zimbabwe,ZWE,Middle East and Africa
