region;regionIEA
AFG;Asia Pacific
ARM;Asia Pacific
AZE;Asia Pacific
BGD;Asia Pacific
BTN;Asia Pacific
KHM;Asia Pacific
FJI;Asia Pacific
FSM;Asia Pacific
GEO;Asia Pacific
GUAM;Asia Pacific
HKG;Asia Pacific
IDN;Asia Pacific
IND;Asia Pacific
JPN;Asia Pacific
KAZ;Asia Pacific
KGZ;Asia Pacific
KIR;Asia Pacific
KOR;Asia Pacific
LAO;Asia Pacific
MAC;Asia Pacific
MDV;Asia Pacific
MHL;Asia Pacific
MMR;Asia Pacific
MNG;Asia Pacific
NCL;Asia Pacific
NPL;Asia Pacific
NRU;Asia Pacific
NZL;Asia Pacific
PAK;Asia Pacific
PHL;Asia Pacific
PNG;Asia Pacific
PRK;Asia Pacific
SGP;Asia Pacific
SLB;Asia Pacific
LKA;Asia Pacific
TJK;Asia Pacific
THA;Asia Pacific
TLS;Asia Pacific
TKM;Asia Pacific
TON;Asia Pacific
TUV;Asia Pacific
TWN;Asia Pacific
UZB;Asia Pacific
VNM;Asia Pacific
VUT;Asia Pacific
WSM;Asia Pacific
DZA;Africa
AGO;Africa
BEN;Africa
BWA;Africa
BFA;Africa
BDI;Africa
CMR;Africa
CPV;Africa
CAF;Africa
TCD;Africa
COM;Africa
COG;Africa
COD;Africa
DJI;Africa
EGY;Africa
GNQ;Africa
ERI;Africa
SWZ;Africa
ETH;Africa
GAB;Africa
GMB;Africa
GHA;Africa
GIN;Africa
GNB;Africa
CIV;Africa
KEN;Africa
LSO;Africa
LBR;Africa
LBY;Africa
MDG;Africa
MWI;Africa
MLI;Africa
MRT;Africa
MUS;Africa
MYT;Africa
MAR;Africa
MOZ;Africa
NAM;Africa
NER;Africa
NGA;Africa
REU;Africa
RWA;Africa
STP;Africa
SEN;Africa
SYC;Africa
SLE;Africa
SOM;Africa
ZAF;Africa
SSD;Africa
SDN;Africa
TZA;Africa
TGO;Africa
TUN;Africa
UGA;Africa
ESH;Africa
ZMB;Africa
ZWE;Africa
ARG;Central and South America
BLZ;Central and South America
BOL;Central and South America
BRA;Central and South America
CHL;Central and South America
COL;Central and South America
CRI;Central and South America
CUB;Central and South America
DMA;Central and South America
DOM;Central and South America
ECU;Central and South America
SLV;Central and South America
GRD;Central and South America
GTM;Central and South America
GUY;Central and South America
HTI;Central and South America
HND;Central and South America
JAM;Central and South America
MEX;Central and South America
NIC;Central and South America
PAN;Central and South America
PRY;Central and South America
PER;Central and South America
KNA;Central and South America
LCA;Central and South America
VCT;Central and South America
SUR;Central and South America
TTO;Central and South America
URY;Central and South America
VEN;Central and South America
RUS;Eurasia
UKR;Eurasia
BLR;Eurasia
MDA;Eurasia
ARM;Eurasia
AZE;Eurasia
KAZ;Eurasia
KGZ;Eurasia
UZB;Eurasia
TJK;Eurasia
TKM;Eurasia
GEO;Eurasia
ALB;Europe
AND;Europe
AUT;Europe
BLR;Europe
BEL;Europe
BIH;Europe
BGR;Europe
HRV;Europe
CYP;Europe
CZE;Europe
DNK;Europe
EST;Europe
FRO;Europe
FIN;Europe
FRA;Europe
DEU;Europe
GIB;Europe
GRC;Europe
GGY;Europe
VAT;Europe
HUN;Europe
ISL;Europe
IRL;Europe
IMN;Europe
ITA;Europe
JEY;Europe
LVA;Europe
LIE;Europe
LTU;Europe
LUX;Europe
MLT;Europe
MDA;Europe
MCO;Europe
MNE;Europe
NLD;Europe
MKD;Europe
NOR;Europe
POL;Europe
PRT;Europe
ROU;Europe
RUS;Europe
SMR;Europe
SRB;Europe
SVK;Europe
SVN;Europe
ESP;Europe
SJM;Europe
SWE;Europe
CHE;Europe
UKR;Europe
GBR;Europe
CAN;North America
USA;North America
BMU;North America
GLP;North America
GRL;North America
SPM;North America
ARE;Middle East
BHR;Middle East
EGY;Middle East
IRN;Middle East
IRQ;Middle East
ISR;Middle East
JOR;Middle East
KWT;Middle East
LBN;Middle East
OMN;Middle East
QAT;Middle East
SAU;Middle East
SYR;Middle East
TUR;Middle East
PSE;Middle East
YEM;Middle East